CID,Smiles,MeltingPoint,Pressure
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,137.77777777777777,
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,137.77777777777777,
1489,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,119,
1491,C1=CC(=C(C=C1O)O)C(=O)O,218.5,
1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,114.8,
1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,112,
1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,327,
1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,327.5,
1539,C1C2=CC=CC=C2C3=C1C=C(C=C3)N,131.5,
1563,CCCCCCCCCCCCC(C(=O)O)O,51,
1639,C1=NNC(=N1)N,159,
1639,C1=NNC(=N1)N,159,
1639,C1=NNC(=N1)N,158.88888888888889,
1639,C1=NNC(=N1)N,158.88888888888889,
1645,C1=CC(=CC(=C1)N)C(=O)N,115.5,
1662,CC(CC(=O)O)(CC(=O)O)O,105,
1674,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,178,
1676,CCCN1C2=C(C(=O)NC1=O)NC=N2,288,
1676,CCCN1C2=C(C(=O)NC1=O)NC=N2,288,
1678,C(C[N+](=O)[O-])C(=O)O,69,
1678,C(C[N+](=O)[O-])C(=O)O,64.5,
1727,C1=CN=CC=C1N,159,
1727,C1=CN=CC=C1N,159,
1727,C1=CN=CC=C1N,318,
1732,CC1=C(C=CC(=C1)O)Cl,67,
1732,CC1=C(C=CC(=C1)O)Cl,66,
1738,COC1=C(C=CC(=C1)CC(=O)O)O,139,
1752,CCCCCCCCCC1=CC=C(C=C1)O,42,
1752,CCCCCCCCCC1=CC=C(C=C1)O,41.75,
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,296.5,
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,286,
1826,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,162,
1833,COC1=CC2=C(C=C1)NC=C2CCN,121.5,
1923,C1=CC2=C(C(=C1)O)N=CC=C2,74,
1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,183.5,
1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,137,
1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,121,
1982,CC(=O)NP(=O)(OC)SC,92.5,
1983,CC(=O)NC1=CC=C(C=C1)O,170,
1983,CC(=O)NC1=CC=C(C=C1)O,168,
1983,CC(=O)NC1=CC=C(C=C1)O,170,
1983,CC(=O)NC1=CC=C(C=C1)O,169.5,
1985,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,226,
1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,260.5,
1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,10.6,
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,189,
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,189,
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,189,
1990,CC(=O)NO,90.5,
1990,CC(=O)NO,90.5,
1993,CC(C[N+](C)(C)C)OC(=O)C,172,
2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,40.5,
2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,40.5,
